title,price,weight,image_url
Lindt Lindor Pistashio Box ,4620,200g,https://assets.indolj.io/upload/1750126981-Lindt Lindor Pistashio Box 200g.jpg?q=10
Lindt Lindor Assorted Box Gold ,4620,200g,https://assets.indolj.io/upload/1750127196-Lindt Lindor Assorted Box Gold 200g_11zon.webp?q=10
Lindt Lindor Assorted Box Gold ,4620,200g,https://assets.indolj.io/upload/1750127255-Lindt Lindor Assorted Box Gold 200g_11zon (2).webp?q=10
Lindt Lindor Assorted Box Silver ,4620,200g,https://assets.indolj.io/upload/1750127009-Lindt Lindor Assorted Box Silver 200g.webp?q=10
Ferrero Raffaello ,3050,150g,https://assets.indolj.io/upload/1764071381-Ferrero Raffaello 150g.jfif?q=10
Sorbon Mini Cone Rainbow ,1450,Mix Box 350g,https://assets.indolj.io/upload/1750127324-Sorbon Mini Cone Rainbow Mix Box 350g.webp?q=10
Milka Caramel ,1350,100g,https://assets.indolj.io/upload/1764071419-Milka Caramel 100g.jfif?q=10
Glico Pocky Double Chocolate Biscuit ,790,47g,https://assets.indolj.io/upload/1750127354-Glico Pocky Double Chocolate Biscuit 47g.jpg?q=10
Lindt Excellence Raspberry,2500,100g,https://assets.indolj.io/upload/1767265860-Lindt Excellence Raspberry 100g.jfif?q=10
Milka Ganze Haselnusse ,1350,95g,https://assets.indolj.io/upload/placholde-general2.png?q=10
Glico Pocky Cookies & Cream Chocolate Biscuit ,790,47g,https://assets.indolj.io/upload/1750127371-Glico Pocky Cookies Cream Chocolate Biscuit 47g.jpg?q=10
Milka Raisins & Nuts ,1350,90g,https://assets.indolj.io/upload/1764071514-Milka Raisins n Nuts 90g.jfif?q=10
Glico Pocky Chocolate Biscuit ,790,47g,https://assets.indolj.io/upload/1750127382-Glico Pocky Chocolate Biscuit 47g.jpg?q=10
Lindt Excellence Sea Salt ,2500,100g,https://assets.indolj.io/upload/1767265910-Lindt Excellence Sea Salt 100g.jfif?q=10
Milka Happy Cow ,1350,90g,https://assets.indolj.io/upload/1764071551-Milka Happy Cow 90g.jfif?q=10
Cadbury Flake Dipped ,590,32g,https://assets.indolj.io/upload/1750127393-Cadbury Flake Dipped 32g.webp?q=10
Milka Strawberry ,1350,90g,https://assets.indolj.io/upload/1764071581-Milka Strawberry 90g.jfif?q=10
Lindt Lindor White Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1764071619-Lindt Lindor White Chocolate Bar 100g.jfif?q=10
Lindt Excellence Ecuador 75% cocao ,2500,100g,https://assets.indolj.io/upload/1767265980-Lindt Excellence Ecuador 75� cocao 100g.jfif?q=10
Lindt Lindor Chocolate Bar ,2250,100g,https://assets.indolj.io/upload/1764071653-Lindt Lindor Chocolate Bar 100g.jfif?q=10
Lindt Swiss Milk Chocolate with Haelnut ,2250,100g,https://assets.indolj.io/upload/1764071685-Lindt Swiss Milk Chocolate 100g.jfif?q=10
Lindt Swiss Milk Chocolate ,2250,100g,https://assets.indolj.io/upload/1764071726-Lindt Swiss Milk Chocolate 100g.jfif?q=10
Lindt Excellence Madagascar 70% ,2500,100g,https://assets.indolj.io/upload/1767266119-Lindt Excellence Madagascar 70� 100g.jfif?q=10
Kinder Schoko Bons ,1490,67g,https://assets.indolj.io/upload/1764071759-Kinder Schoko Bons 67g.jfif?q=10
Kitkat Salted Caramel ,1850,99g,https://assets.indolj.io/upload/1764071788-Kitkat Salted Caramel 99g.jfif?q=10
Kitkat Double Choclate Bar ,1850,99g,https://assets.indolj.io/upload/1764071827-Kitkat Double Choclate Bar 99g.jfif?q=10
Lindt Excellence fusion 75% & White Blanc ,2500,100g,https://assets.indolj.io/upload/1767266325-Lindt Excellence fusion 75.jfif?q=10
M&M Peanut Pouch ,1880,150g,https://assets.indolj.io/upload/1764071875-MnM Peanut Pouch 150g.jfif?q=10
M&M Crispy Pouch ,2350,187g,https://assets.indolj.io/upload/1764071929-MnM Crispy Pouch 187g.jfif?q=10
Lindt Excellence Mint Intense ,2500,100g,https://assets.indolj.io/upload/1767266265-Lindt Excellence Mint Intense 100g.jfif?q=10
M&M Peanut ,460,45g,https://assets.indolj.io/upload/1764071980-MnM Peanut 45g.jfif?q=10
Hersheys Kisses Special Selection Pouch ,1850,100g,https://assets.indolj.io/upload/1764072020-Hersheys Kisses Special Selection Pouch 100g.jfif?q=10
Hersheys Kisses Dark Chcoclate ,2150,146g,https://assets.indolj.io/upload/1764072059-Hersheys Kisses Dark Chcoclate 146g.jfif?q=10
Hersheys Extra Creamy Tin ,1450,50g,https://assets.indolj.io/upload/1764072087-Hersheys Extra Creamy Tin 50g.jfif?q=10
Kitkat Miniatures Pouch ,1360,84g,https://assets.indolj.io/upload/1752372034-Kitkat miniatures Pouch 84g.avif?q=10
Hersheys Cookies N Chocolate ,640,40g,https://assets.indolj.io/upload/1764072121-Hersheys CookiesNChocolate 40g.jfif?q=10
Hersheys Chocolate Mint Candy Canes ,1990,149g,https://assets.indolj.io/upload/1734520094-Hersheys Chocolate Mint Candy Canes 149g.webp?q=10
Lindt Excellence fusion 85% & Milk Lait ,2500,100g,https://assets.indolj.io/upload/1767266446-Lindt Excellence fusion 85.jfif?q=10
Hersheys Cookies White ,640,40g,https://assets.indolj.io/upload/1764072156-Hersheys Cookies White 40g.jfif?q=10
Reeses Fast Break ,590,51g,https://assets.indolj.io/upload/1764072192-Reeses Fast Break 51g.jfif?q=10
Lindt Excellence Crunchy Caramel Milk Lait ,2500,100g,https://assets.indolj.io/upload/1767266492-Lindt Excellence Crunchy Caramel Milk Lait 100g.jfif?q=10
 Reeses 2 Peaunt Butter Cups ,600,42g,https://assets.indolj.io/upload/1764072230-Reeses 2 Peaunt Butter Cups 42g.jfif?q=10
Godiva Cappuccino Creamy Choco Bar ,950,35gm,https://assets.indolj.io/upload/1764072265-Godiva Cappuccino Creamy Choco Bar 35gm.jfif?q=10
Godiva Creamy Choco Bar ,950,35gm,https://assets.indolj.io/upload/1764072311-Godiva Creamy Choco Bar 35gm.jfif?q=10
Lindt Lindor Assorted Silver Box ,8003340802336,337g,https://assets.indolj.io/upload/1767266536-Lindt Lindor Assorted Silver Box 337g.jfif?q=10
Dairy Milk Oreo ,500,95g,https://assets.indolj.io/upload/1764072347-Dairy Milk Oreo 95g.jfif?q=10
Dairy Milk Wafer Bar ,100,34g,https://assets.indolj.io/upload/1764072591-Dairy Milk Wafer Bar 34g.jfif?q=10
Galaxy White ,670,38g,https://assets.indolj.io/upload/1764072625-Galaxy White 38g.jfif?q=10
Lindt Lindor Milk Chocolate Box ,6500,337g,https://assets.indolj.io/upload/1767266593-Lindt Lindor Milk Chocolate Box 337g.jfif?q=10
Lindt lindor Mini Milk ,1990,50g,https://assets.indolj.io/upload/1764072658-Lindt lindor Mini Milk 50g.jfif?q=10
Lindt Lindor Assorted golden Box 337g,6500,,https://assets.indolj.io/upload/1767266642-Lindt Lindor Assorted golden Box 337g.jfif?q=10
Hersheys Milk chocolate Bar ,2350,100g,https://assets.indolj.io/upload/1767266756-Hersheys Milk chocolate Bar 100g.jfif?q=10
Toblerone Milk Chocolate Bar,570,35g,https://assets.indolj.io/upload/1750127841-Toblerone Milk Chocolate Bar 35g.jpg?q=10
Evliya Chocolate Caramel Pouch ,1790,250g,https://assets.indolj.io/upload/1752371895-Evliya Chocolate Caramel Pouch 250g.jpg?q=10
Kitkat,210,2 Fingers,https://assets.indolj.io/upload/1750127816-Kitkat 2 Fingers.jpg?q=10
Kinder Tronky Chocolate ,290,18g,https://assets.indolj.io/upload/1750127804-Kinder Tronky Chocolate 18g.jpg?q=10
Donaci Fruity Coconut Candy Pouch ,1790,250g,https://assets.indolj.io/upload/1752371906-Donaci Fruity Coconut Candy Pouch 250g.jpg?q=10
Hersheys Cookies n Cream bar,2350,108g,https://assets.indolj.io/upload/1767266794-Hersheys Cookies n Cream 108g bar.jfif?q=10
Kinder Country ,310,23g,https://assets.indolj.io/upload/1750127795-Kinder Country 23g.jpg?q=10
Hersheys Kisses Creamy Milk With Almond Chocolate ,2150,146g,https://assets.indolj.io/upload/1750127786-Hersheys Kisses Creamy milk With Almond Chocolate 146g.webp?q=10
Kinder Maxi ,340,21g,https://assets.indolj.io/upload/1767266865-Kinder Maxi 21g.jfif?q=10
Oddie Sweet Caramel Pouch ,1990,250g,https://assets.indolj.io/upload/1752371923-Oddie Sweet Caramel Pouch 250g.jpg?q=10
Elif Eclairs Cappuccino Pouch ,990,250g,https://assets.indolj.io/upload/1752371963-Elif Eclairs Cappuccino Pouch 250g.jpg?q=10
Hersheys Kisses Sugar Cookie Flavor ,1850,78g,https://assets.indolj.io/upload/1767266914-Hersheys Kisses Sugar Cookie Flavor 78g.jfif?q=10
Elif Eclairs Mint Pouch ,990,250g,https://assets.indolj.io/upload/1752371970-Elif Eclairs Mint Pouch 250g.jpg?q=10
Hersheys Kisses Candy cane Flavor ,1850,78g,https://assets.indolj.io/upload/1767266987-Hersheys Kisses Candy cane Flavor 78g.jfif?q=10
Evliya Premium Candiotti Pouch ,1190,150g,https://assets.indolj.io/upload/1752371977-Evliya Premium Candiotti Pouch 150g.jpg?q=10
Hersheys Kisses Creamy Mlik chocolate Flavor ,1850,78g,https://assets.indolj.io/upload/1767267046-Hersheys Kisses Creamy Mlik chocolate Flavor 78g.jfif?q=10
Evliya Premium madlen Pouch ,1190,150g,https://assets.indolj.io/upload/1752371985-Evliya Premium madlen Pouch 150g.jpg?q=10
Evliya Choco Cream Pouch ,1390,250g,https://assets.indolj.io/upload/1752371993-Evliya Choco Cream Pouch 250g.jpg?q=10
Galaxy Cookie Crumble ,670,40g,https://assets.indolj.io/upload/1767267098-Galaxy Cookie Crumble 40g.jfif?q=10
Evliya Black Joley Pouch ,1790,250g,https://assets.indolj.io/upload/1752372000-Evliya Black Joley Pouch 250g.jpg?q=10
Twix Miniatures ,3550,220g,https://assets.indolj.io/upload/1752372043-Twix Miniatures 220g.jpg?q=10
Galaxy Fruit & nut ,670,36gm,https://assets.indolj.io/upload/1767267183-Galaxy Fruitnut 36gm.jfif?q=10
Celebration Tub ,7500,500g,https://assets.indolj.io/upload/1767267297-Celebration Tub 500g.jfif?q=10
Galaxy Miniatures Pouch ,2450,117g,https://assets.indolj.io/upload/1752372050-Galaxy Miniatures Pouch 117g.jpg?q=10
Toblerone Dark Chocolate Bar ,1200,100g,https://assets.indolj.io/upload/1750127138-Toblerone Dark Chocolate Bar 100g.png?q=10
Milka Alpine Biscoff Bar ,1350,90g,https://assets.indolj.io/upload/1767267363-Milka Alpine Biscoff Bar 90g.jfif?q=10
Milka Daim ,1350,100g,https://assets.indolj.io/upload/1767267407-Milka Daim 100g.jfif?q=10
Toblerone Crunchy Almond Chocolate Bar ,1200,100g,https://assets.indolj.io/upload/1750127147-Toblerone Crunchy Almond Chocolate Bar 100g.jpg?q=10
Hersheys Kisses Creamy Milk Chocolate ,2150,146g,https://assets.indolj.io/upload/1732511696-Hersheys Kisses Creamy Milk Chocolate.webp?q=10
Milka Alpine Milk Bar ,1200,90g,https://assets.indolj.io/upload/placholde-general2.png?q=10
Hersheys Kisses Cookies N Cream Chocolate ,2100,146g,https://assets.indolj.io/upload/1750127407-Hersheys Kisses Cookies N Cream Chocolate 146g.webp?q=10
Hersheys Kisses Milk Chocolate Pouch ,1890,"100g<br>
20 Pieces<br>",https://assets.indolj.io/upload/1732512000-AAA.webp?q=10
Hersheys Kisses Special Selection Pouch ,1890,"100g<br>
20 Pieces",https://assets.indolj.io/upload/1732512051-Hersheys Kisses Special Selection.jpeg?q=10
Hersheys Kisses Classic Selection Pouch ,1890,20 Pieces 100g,https://assets.indolj.io/upload/1750127420-Hersheys Kisses Classic Selection Pouch 20 pieces 100g.jpg?q=10
Hersheys Choco Bites Cookies & Chocolate ,1750,81g,https://assets.indolj.io/upload/1767267742-Hersheys Choco Bites CookiesChocolate 81g.jfif?q=10
Hersheys Kisses Cookies N Cream Pouch ,1890,20 Pieces 100g,https://assets.indolj.io/upload/1750127429-Hersheys Kisses Cookies N Cream Pouch 20 pieces 100g.jpg?q=10
Hersheys Choco Bites Cookies & cream ,1750,81g,https://assets.indolj.io/upload/1767267824-Hersheys Choco Bites Cookies cream 81g.jfif?q=10
Mars Miniatures Pouch ,1990,150g,https://assets.indolj.io/upload/1750127442-Mars Miniatures Pouch 220g.jpg?q=10
Nature Gran Almond & Espresso Bar ,220,45g,https://assets.indolj.io/upload/1767268001-Nature Gran AlmondEspresso Bar 45g.jfif?q=10
Snickers Miniatures Pouch ,1990,150g,https://assets.indolj.io/upload/1750127452-Snickers Miniatures Pouch 220g.jpg?q=10
Nature Gran Oats&Honey Bar ,220,45g,https://assets.indolj.io/upload/1767267958-Nature Gran OatsHoney Bar 45g.jfif?q=10
Bounty Miniatures Pouch ,1990,150g,https://assets.indolj.io/upload/1750127464-Bounty Miniatures Pouch 220g.jpg?q=10
Nature Gran Choco Brownie Bar ,220,45g,https://assets.indolj.io/upload/1767267889-Nature Gran Choco Brownie Bar 45g.jfif?q=10
MrBeast Feastables Dark Chocolate Bar ,1950,60g,https://assets.indolj.io/upload/1750081233-MrBeast-Feastables-Dark-Chocolate-Bar-60g.webp?q=10
MrBeast Feastables Almond Chocolate Bar ,1950,60g,https://assets.indolj.io/upload/1750081240-MrBeast-Feastables-Almond-Chocolate-Bar-60g.webp?q=10
Hersheys Nuggets Dark Chocolate With Almonds Chocolate ,470,28g,https://assets.indolj.io/upload/1732371551-Hersheys Nuggets Dark Chocolate With Almonds Chocolate.webp?q=10
Kinder Mini Egg Milch ,2200,85g,https://assets.indolj.io/upload/1768309541-Kinder Mini Egg Milch 85g.jfif?q=10
Tiffany Break mini Fun Pouch 130g,1790,,https://assets.indolj.io/upload/1787221340-TiffanyBreakminiFunPouch130g.jfif?q=10
Cadbury Dairy Milk Bar ,420,45g,https://assets.indolj.io/upload/1750128239-Cadbury Dairy Milk Bar 45g.jpg?q=10
Choki Choki ,350,27g,https://assets.indolj.io/upload/1768309486-Choki Choki 27g.jfif?q=10
Cadbury Dairy Milk Almond Bar ,1290,160g,https://assets.indolj.io/upload/1750128229-Cadbury Dairy Milk Almond Bar 160g.webp?q=10
Quality Street Favourites Cream Selection Pouch ,4000,281g,https://assets.indolj.io/upload/1768309675-Quality Street Favourites Cream Selection Pouch 281g.jfif?q=10
Celebration Mini ,3850,240g,https://assets.indolj.io/upload/1768309476-Celebration Mini 240g.jfif?q=10
Mr Beast Cookies&Cream 60g,1550,,https://assets.indolj.io/upload/1787221360-MrBeastCookiesCream60g.jfif?q=10
Cadbury Dairy Milk Wholenut Bar ,420,45g,https://assets.indolj.io/upload/1750128214-Cadbury Dairy Milk Wholenut Bar 45g.jpg?q=10
Kinder Kugeln Crispy Bits Pouch ,2950,90g,https://assets.indolj.io/upload/1768309524-Kinder Kugeln Crispy Bits Pouch 90g.jfif?q=10
Ferrero Rocher T16 ,4320,200g,https://assets.indolj.io/upload/1768309497-Ferrero Rocher T16 200g.jfif?q=10
Quality Street Purple Pouch ,4000,300g,https://assets.indolj.io/upload/1768309686-Quality Street Purple Pouch 300g.jfif?q=10
Snickers Wafer Roll 24g,340,,https://assets.indolj.io/upload/1787221370-SnickersWaferRoll24g.jfif?q=10
Cadbury Dairy Milk Caramel Bar ,2100,180g,https://assets.indolj.io/upload/1750128205-Cadbury Dairy Milk Caramel Bar 180g.jpg?q=10
Fix Dessert Kunfa Chocolate Bar ,3500,,https://assets.indolj.io/upload/1768309507-Fix Dessert Kunfa Chocolate Bar.jfif?q=10
Hersheys Cookies N Cream Chocolate Bar ,640,40g,https://assets.indolj.io/upload/1732371853-Hersheys CookiesNCream Chocolate Bar.png?q=10
kitkat 2 finger caramel,210,,https://assets.indolj.io/upload/1768309554-kitkat 2 finger caramel.jfif?q=10
Reeses 3 peanut Butter Cups ,640,46g,https://assets.indolj.io/upload/1750128196-Reeses 3 peanut Butter Cups 46g.jpg?q=10
Bounty 2X 57g,340,,https://assets.indolj.io/upload/1787221380-Bounty2X57g.jfif?q=10
kitkat 2 finger white,210,,https://assets.indolj.io/upload/1768309660-kitkat 2 finger white.jfif?q=10
kitkat 2 finger dark,210,,https://assets.indolj.io/upload/1768309610-kitkat 2 finger dark.jfif?q=10
kitkat 2 finger mocha,210,,https://assets.indolj.io/upload/1768309645-kitkat 2 finger mocha.jfif?q=10
CandyLand Neon Crawlers Jelly ,50,42g,https://assets.indolj.io/upload/1750129467-CandyLand Neon Crawlers Jelly 42g_11zon.png?q=10
yummy Gummy PonPon Jar ,880,175g,https://assets.indolj.io/upload/1750129723-yummy Gummy PonPon Jar 175g.jpg?q=10
CandyLand Fizzyo Jelly ,50,32g,https://assets.indolj.io/upload/1750129327-CandyLand Fizzyo Jelly 32g.jpg?q=10
Yupi Fruit Cocktails Jelly ,90,14g,https://assets.indolj.io/upload/1732773332-Yupi Fruit Cocktails Jelly 14g.webp?q=10
SourPatch Kids Watermelon Pouch ,1650,130g,https://assets.indolj.io/upload/1767269568-SourPatch Kids Watermelon Pouch 130g.jfif?q=10
Yummy Gummy Blackberry Tub 175g,880,,https://assets.indolj.io/upload/1763038797-Yummy Gummy Blackberry Tub 175g.jfif?q=10
Yupi Aquarium Jelly ,120,30g,https://assets.indolj.io/upload/1732773253-Yupi Aquarium Jelly 30g.webp?q=10
CandyLand Bottles Jelly ,50,32g,https://assets.indolj.io/upload/1750129336-CandyLand Bottles Jelly 32g.webp?q=10
Yummy  GummyBear Tub 175g,880,,https://assets.indolj.io/upload/1763038845-Yummy  GummyBear Tub 175g.jfif?q=10
Yupi Gummi Footballs Jelly ,90,16g,https://assets.indolj.io/upload/1732773372-Yupi Gummi FootBalls Jelly 16g.webp?q=10
Yupi Gummi Pizza Jelly ,90,14g,https://assets.indolj.io/upload/1732364059-Yupi gummi Pizza Jelly.jpg?q=10
SourPatch Kids Blue Rasberry Pouch ,1650,130g,https://assets.indolj.io/upload/1767269605-SourPatch Kids Blue Rasberry Pouch 130g.jfif?q=10
Paw Patrol malow pop45g,500,,https://assets.indolj.io/upload/1763038920-Paw Patrol malow pop45g.jfif?q=10
Sweeto Sour Ring Jelly ,490,80g,https://assets.indolj.io/upload/1750128340-Sweeto Sour Ring Jelly 80g.jpg?q=10
CandyLand ABC Jelly ,50,32g,https://assets.indolj.io/upload/1750129348-CandyLand ABC Jelly 32g.jpg?q=10
Tom & Jerry malow pop 45g,500,,https://assets.indolj.io/upload/1763038958-Tom & Jerry malow pop 45g.jfif?q=10
Yupi Gummy Big Frank Jelly ,140,28g,https://assets.indolj.io/upload/1732773450-Yupi Gummy Big Frank Jelly 28g.png?q=10
CandyLand Chili Mili Jelly ,50,32g,https://assets.indolj.io/upload/1750129356-CandyLand Chili Mili Jelly 32g.jpg?q=10
SourPatch Kids Glow ups Pouch ,1650,87g,https://assets.indolj.io/upload/1767269649-SourPatch Kids Glow ups Pouch 87g.jfif?q=10
Yupi Burger Jelly ,50,,https://assets.indolj.io/upload/1732773280-Yupi Burger Jelly.webp?q=10
CandyLand Watermelon Jelly ,50,42g,https://assets.indolj.io/upload/1750129379-CandyLand Watermelon Jelly 42g.jpg?q=10
Looney Tunes malow pop 45g,500,,https://assets.indolj.io/upload/1763038997-Looney Tunes malow pop 45g.jfif?q=10
Sweeto Sour Tangy Jelly ,490,80g,https://assets.indolj.io/upload/1750128348-Sweeto Sour Tangy Jelly 80g.webp?q=10
Yummy Gummy Watermelon Jar ,880,175g,https://assets.indolj.io/upload/1734097539-f4.jpg?q=10
Yupi Strawberry Heart Jelly ,90,15gm,https://assets.indolj.io/upload/1768309259-Yupi Strawberry Heart Jelly 15gm.jfif?q=10
Hallo Kitty Marchmallow Lollypop 45g,500,,https://assets.indolj.io/upload/1763039039-Hallo Kitty Marchmallow Lollypop 45g.jfif?q=10
Sweeto Cola Jelly ,490,80g,https://assets.indolj.io/upload/1750128356-Sweeto Cola Jelly 80g.webp?q=10
SourPatch Heads Peach pouch ,1650,102g,https://assets.indolj.io/upload/1767269688-SourPatch Heads Peach pouch 102g.jfif?q=10
Sweeto Bears Jelly ,490,80g,https://assets.indolj.io/upload/1750128364-Sweeto Bears Jelly 80g.jpg?q=10
CandyLand Mango Jelly ,50,42g,https://assets.indolj.io/upload/1750129522-CandyLand Mango Jelly 42g.jpg?q=10
 Spongebob Malow pop 45g ,500,,https://assets.indolj.io/upload/1763039073-Spongebob Malow pop 45g.jfif?q=10
SourPatch Kids Grapes Pouch ,1650,101g,https://assets.indolj.io/upload/1767269735-SourPatch Kids Grapes Pouch 101g.jfif?q=10
Sweeto Cherry Jelly ,490,80g,https://assets.indolj.io/upload/1750128373-Sweeto Cherry Jelly 80g.jpg?q=10
Jolly Rancher Gummies Gommeux Naughty&Nice Mix ,2750,200g,https://assets.indolj.io/upload/1771313372-1.jfif?q=10
Sweeto Unicorn Jelly ,490,80g,https://assets.indolj.io/upload/1750128382-Sweeto Unicorn Jelly 80g.jpg?q=10
Sweeto Sharks Jelly,490,80g,https://assets.indolj.io/upload/1750128391-Sweeto Sharks Jelly 80g.jpg?q=10
SourPatch Kids Original Pouch ,1650,130g,https://assets.indolj.io/upload/1767269791-SourPatch Kids Original Pouch 130g.jfif?q=10
Yummy Gummy Gummy Bears Jelly ,770,150g,https://assets.indolj.io/upload/1750082117-Yummy-Gummy-Gummy-Bears-Jelly-150g.jpg?q=10
Yummy Gummy Sour Party Mix Jelly ,770,150g,https://assets.indolj.io/upload/1750128455-Yummy Gummy Sour Party Mix Jelly 150g.jpg?q=10
Pretty Patties Eggs ,590,54g,https://assets.indolj.io/upload/1767269871-Pretty Patties Eggs 54g.jfif?q=10
Yummy Gummy Sour Neon Worms Jelly ,770,150g,https://assets.indolj.io/upload/1750082141-Yummy-Gummy-Sour-Neon-Worms-Jelly-150g.jpg?q=10
Yummy Gummy Blue Sharks Jelly ,770,150g,https://assets.indolj.io/upload/1750128481-Yummy Gummy Blue Sharks Jelly 150g.webp?q=10
Sweeto Fizzy Strawberry jar ,950,150g,https://assets.indolj.io/upload/1767269914-Sweeto Fizzy Strawberry jar 150g.jfif?q=10
Yummy Gummy Atomic peaches Jelly ,770,150g,https://assets.indolj.io/upload/1750128491-Yummy Gummy Atomic peaches Jelly 150g.webp?q=10
Sweeto Cola Jar ,950,150g,https://assets.indolj.io/upload/1767269969-Sweeto Cola Jar 150g.jfif?q=10
Tayas Damla Sour Cola Jelly ,420,80g,https://assets.indolj.io/upload/1732367943-Tayas Damla Sour Cola Jelly.jpg?q=10
Sweeto Watermelon Jar ,950,150g,https://assets.indolj.io/upload/1767270007-Sweeto Watermelon Jar 150g.jfif?q=10
Tayas Damla Sour Fruit Garden ,420,80g,https://assets.indolj.io/upload/1732368005-Tayas Damla Sour Fruit Garden.jpeg?q=10
Sweeto Fruits Jar ,950,150g,https://assets.indolj.io/upload/1767270038-Sweeto Fruits Jar 150g.jfif?q=10
Tayas Damla Sour Bears ,420,80g,https://assets.indolj.io/upload/1732368075-Tayas Damla Sour Bears.jpg?q=10
Pic&Mix Jelly Party Mix ,370,75g,https://assets.indolj.io/upload/1766783955-pick n mix.jfif?q=10
Chupa Chups Lollies Jelly,550,90g,https://assets.indolj.io/upload/1750128534-Chupa Chups Lollies Jelly 90g.png?q=10
Chupa Chups Pinkis Jelly ,550,90g,https://assets.indolj.io/upload/1750128547-Chupa Chups Pinkis Jelly 90g.webp?q=10
Chupa Chups Cola Jelly ,550,90g,https://assets.indolj.io/upload/1750128560-Chupa Chups Cola Jelly 90g.avif?q=10
Yummy Gummy Cola Bottles Jelly Pouch ,770,150g,https://assets.indolj.io/upload/1732773206-Yummy Gummy Cola Bottles Jelly Pouch 150g.jpg?q=10
Haribo Happy Cola Jelly ,490,80g,https://assets.indolj.io/upload/1732368530-Chupa Chups Sour Strawberry belt Jelly.jpg?q=10
Chupa Chups Crawlers Jelly ,550,90g,https://assets.indolj.io/upload/1750128572-Chupa Chups Crawlers Jelly 90g.jpg?q=10
Chupa Chups Panda Bears Jelly ,980,160g,https://assets.indolj.io/upload/1750082279-Chupa-Chups-Panda-Bears-Jelly-160g.jpg?q=10
SourPatch Kids Video ,1760,99g,https://assets.indolj.io/upload/1752371638-SourPatch Kids Video 99g.jpg?q=10
Haribo Teeth Jelly ,680,80g,https://assets.indolj.io/upload/1732369143-Haribo teeth Jelly Pouch_11zon.png?q=10
Haribo Phantasia Jelly,690,80g,https://assets.indolj.io/upload/1732369224-Haribo Phantasia Jelly Pouch.webp?q=10
Haribo Starmix Jelly Pouch ,690,60g,https://assets.indolj.io/upload/1732369561-Haribo Starmix Jelly Pouch.jpg?q=10
Chupa Chups Sour Belts ,690,57g,https://assets.indolj.io/upload/1750082431-Chupa-Chups-Sour-Belts-57g_11zon.jpg?q=10
Chupa Chups Sour 1 Meter Belt ,590,50g,https://assets.indolj.io/upload/1750128626-Chupa Chups Sour 1 Meter Belt 50g.jpg?q=10
Chupa Chups Sour Belts ,160,7g,https://assets.indolj.io/upload/1750128640-Chupa Chups Sour Belts 7g.webp?q=10
Chupa Chups Panda Bears Jelly ,390,24g,https://assets.indolj.io/upload/1750128651-Chupa Chups Panda Bears Jelly 24g.jpg?q=10
Tiva Bears Jelly ,490,80g,https://assets.indolj.io/upload/1750129050-Tiva Bears Jelly 80g.webp?q=10
Tiva Sour Rainbow Belts Jelly ,490,80g,https://assets.indolj.io/upload/1750129059-Tiva Sour Rainbow Belts Jelly 80g.jpg?q=10
Tiva Cola Jelly ,490,80g,https://assets.indolj.io/upload/1750129069-Tiva Cola Jelly 80g.webp?q=10
Tiva Strowberry Fizzy Jelly ,490,80g,https://assets.indolj.io/upload/1750129158-Tiva Strowberry Fizzy Jelly 80g.webp?q=10
Chupa Chups Cool Cola Jelly ,390,24g,https://assets.indolj.io/upload/1750128660-Chupa Chups Cool Cola Jelly 24g.jpg?q=10
Tiva Watermelon Slices Fizzy Jelly ,490,80g,https://assets.indolj.io/upload/1750129168-Tiva Watermelon Slices Fizzy Jelly 80g.jpg?q=10
Tiva Peach Rings Fizzy Jelly ,490,80g,https://assets.indolj.io/upload/1750129178-Tiva Peach Rings Fizzy Jelly 80g.webp?q=10
Fini Neon Bears Jelly ,480,75g,https://assets.indolj.io/upload/1750128671-Fini Neon Bears Jelly 75g.webp?q=10
Fini Watermelon Slices Jelly ,480,75g,https://assets.indolj.io/upload/1750128685-Fini Watermelon Slices Jelly 75g.jpg?q=10
Fini Peach Rings Jelly ,480,75g,https://assets.indolj.io/upload/1750128706-Fini Peach Rings Jelly 75g.jpg?q=10
Fini Wlid Strawberries Jelly ,480,75g,https://assets.indolj.io/upload/1750128717-Fini Wlid Strawberries Jelly 75g.jpg?q=10
Fini Galaxy Mix Jelly ,480,75g,https://assets.indolj.io/upload/1750128815-Fini Galaxy Mix Jelly 75g.jpg?q=10
Damel Sweet Mix Jelly ,430,80g,https://assets.indolj.io/upload/1750128826-Damel Sweet Mix Jelly 80g.jpg?q=10
Tiva Sugared Ponpon Jelly ,490,80g,https://assets.indolj.io/upload/1750129023-Tiva Sugared Ponpon Jelly 80g.webp?q=10
Damel Yummy Pizza Jelly ,430,80g,https://assets.indolj.io/upload/1750128836-Damel Yummy Pizza Jelly 80g.jpg?q=10
Damel movie Mix Jelly ,430,80g,https://assets.indolj.io/upload/1750128845-Damel movie Mix Jelly 80g.jpg?q=10
Tiva Sugared Ponpon Jelly ,490,80g,https://assets.indolj.io/upload/1750129032-Tiva Sugared Ponpon Jelly 80g.webp?q=10
Damel Happy Eggs Mix Jelly ,430,80g,https://assets.indolj.io/upload/1750128855-Damel Happy Eggs Mix Jelly 80g.jpg?q=10
Tiva Sour Multicolor Sticks Jelly ,490,80g,https://assets.indolj.io/upload/1750129040-Tiva Sour Multicolor Sticks Jelly 80g.webp?q=10
